,title,genres,imdb_score
873,Michael,  thriller    drama  ,5.3
874,Bbuddah Hoga Terra Baap,  thriller    action    comedy    crime  ,5.6
875,Shor in the City,  drama    crime  ,7.2
876,Chhota Bheem & Krishna in Mayanagari,  animation    action    fantasy  ,9.0
877,Department,  thriller    action    crime  ,3.2
879,The Mistress,  romance    drama  ,6.3
882,Ferrari Ki Sawaari,  comedy    family    sport    drama  ,6.4
883,Zokkomon,  scifi    fantasy    action    family  ,3.9
888,Aiyyaa,  comedy    romance  ,4.3
889,Blood Money,  drama    thriller    action    crime  ,5.1
897,Chhota Bheem In Dholakpur to Kathmandu,  animation  ,7.8
898,The Rise of Kirmada,  animation  ,8.0
911,My Friend Pinto,  comedy    drama    crime  ,5.3
920,Paddington,  comedy    animation    family    fantasy    european  ,7.2
922,Nightcrawler,  crime    thriller    drama  ,7.8
925,Her,  drama    romance    scifi  ,8.0
926,42,  drama    sport  ,7.5
927,The Imitation Game,  thriller    drama    war  ,8.0
928,The Call,  crime    thriller    drama    horror    european  ,6.7
930,Big Eyes,  drama    documentation    crime    romance  ,7.2
932,Oldboy,  thriller    action    drama  ,5.7
933,Rush,  drama    action    sport    european  ,8.1
935,How to Train Your Dragon 2,  fantasy    comedy    family    animation    action  ,7.8
936,Begin Again,  comedy    music    romance    drama  ,7.4
937,The Conjuring,  thriller    horror  ,7.5
938,Insidious: Chapter 2,  thriller    horror  ,6.5
942,A Walk Among the Tombstones,  drama    thriller    action    crime  ,6.5
943,Olympus Has Fallen,  thriller    action    drama  ,6.5
944,The Giver,  drama    scifi    romance    thriller  ,6.4
948,Creep,  horror    thriller  ,6.3
949,St. Vincent,  comedy    drama  ,7.2
953,The Green Inferno,  horror    thriller  ,5.3
954,Dark Skies,  thriller    horror    scifi    documentation  ,6.3
956,The Frozen Ground,  thriller    drama    crime  ,6.4
959,Empire State,  drama    crime    thriller    action    european  ,5.2
961,Shrek the Musical,  fantasy    family    comedy  ,6.9
962,The Butler,  drama    european  ,7.2
965,Scary Movie 5,  comedy    horror  ,3.5
969,Cloudy with a Chance of Meatballs 2,  comedy    family    fantasy    scifi    drama    animation  ,6.3
973,Penguins of Madagascar,  comedy    animation    family    scifi  ,6.6
975,Texas Chainsaw 3D,  horror    thriller  ,4.8
979,Mr. Peabody & Sherman,  action    family    animation    history    scifi    romance    comedy    fantasy  ,6.8
980,Vampire Academy,  fantasy    horror    thriller    action    comedy    drama  ,5.4
981,"I, Frankenstein",  horror    thriller    scifi    action    fantasy  ,5.1
982,Seventh Son,  fantasy    action  ,5.5
985,Sabotage,  drama    thriller    western    action    crime  ,5.7
987,The Railway Man,  drama    european    war    romance  ,7.1
990,Life of Crime,  comedy    crime  ,5.8
991,Get on Up,  drama    music  ,6.9
993,The November Man,  crime    action    thriller  ,6.3
995,The Nut Job,  comedy    crime    family    animation  ,5.7
997,Brick Mansions,  crime    drama    action    thriller  ,5.6
998,The Big Wedding,  comedy    drama    romance  ,5.6
1002,The Battered Bastards of Baseball,  documentation    sport  ,8.0
1008,The Smurfs 2,  fantasy    animation    comedy    family  ,5.3
1009,Metallica: Through the Never,  music  ,7.1
1010,Walk of Shame,  comedy  ,6.0
1011,Search Party,  comedy  ,5.6
1012,Stand by Me Doraemon,  fantasy    animation    comedy    drama    family    scifi  ,7.3
1013,Thanks for Sharing,  drama    comedy    romance  ,6.4
1017,The Haunting in Connecticut 2: Ghosts of Georgia,  horror    thriller    drama  ,5.2
1020,Elena,  documentation    european    drama    family  ,7.6
1022,Berserk: The Golden Age Arc III - The Advent,  fantasy    action    drama    horror    romance    animation  ,7.8
1025,A Haunted House 2,  comedy    horror    fantasy  ,4.6
1028,We Steal Secrets: The Story of WikiLeaks,  documentation  ,6.9
1029,Effie Gray,  drama    romance  ,6.0
1030,Free Birds,  comedy    family    scifi    animation  ,5.8
1032,The Short Game,  documentation    sport  ,7.3
1033,PK,  comedy    drama    romance    fantasy    scifi  ,8.2
1034,Underdogs,  romance    drama    documentation    sport    animation    family  ,6.5
1035,Jinxed,  fantasy    comedy    family  ,6.4
1037,Swearnet: The Movie,  comedy  ,6.1
1044,Chennai Express,  romance    comedy    drama    action  ,6.1
1058,Haider,  drama    action    crime    thriller  ,8.1
1059,2 States,  comedy    drama    romance  ,6.9
1063,A Fairly Odd Summer,  fantasy    animation    comedy    family  ,4.0
1068,Khoobsurat,  comedy    romance  ,6.5
1069,Monty Python: Live (Mostly),  comedy    documentation  ,7.6
1072,Highway,  drama    crime    romance  ,7.6
1073,Queen,  drama    comedy  ,8.2
1081,Mission Blue,  documentation    drama  ,7.9
1084,ABCD,  drama    music  ,6.3
1086,City of God: 10 Years Later,  documentation  ,6.4
1088,Bombay Talkies,  drama  ,6.6
1092,Ragini MMS 2,  horror  ,3.9
1093,Fukrey,  romance    comedy    drama  ,6.9
1094,Dedh Ishqiya,  drama    romance    thriller    comedy  ,7.0
1095,Hasee Toh Phasee,  comedy    romance  ,6.8
1100,Boss,  action    comedy    crime    drama  ,5.3
1104,Mary Kom,  drama    sport    action  ,6.9
1110,Jim Jefferies: Bare,  comedy  ,8.0
1111,Dabbe 5: Zehr-i Cin,  horror  ,6.0
1117,Humpty Sharma Ki Dulhania,  drama    comedy    romance  ,6.0
1119,The Butterfly's Dream,  drama    history    romance  ,7.8
1120,Jeff Dunham: All Over the Map,  comedy  ,7.1
1123,Ghanchakkar,  thriller    crime    comedy  ,5.8
1133,Inkaar,  drama    romance    thriller  ,6.2
1135,Coming Soon,  drama    comedy    romance  ,7.5
1137,Refugiado,  drama    thriller    european  ,6.4
1139,Wedding Association,  comedy  ,7.1
1142,Madras Cafe,  thriller    action    drama  ,7.7
