key,title,genres,imdb_score
393,Premonition,fantasy,5.9
395,Eagle Eye,thriller,6.6
395,Eagle Eye,action,6.6
395,Eagle Eye,european,6.6
397,Lagaan: Once Upon a Time in India,drama,8.1
397,Lagaan: Once Upon a Time in India,romance,8.1
397,Lagaan: Once Upon a Time in India,sport,8.1
398,The Men Who Stare at Goats,comedy,6.2
398,The Men Who Stare at Goats,war,6.2
400,Friends with Money,romance,5.8
400,Friends with Money,comedy,5.8
400,Friends with Money,drama,5.8
401,Legend of the Guardians: The Owls of Ga'Hoole,fantasy,6.9
401,Legend of the Guardians: The Owls of Ga'Hoole,family,6.9
401,Legend of the Guardians: The Owls of Ga'Hoole,action,6.9
401,Legend of the Guardians: The Owls of Ga'Hoole,war,6.9
401,Legend of the Guardians: The Owls of Ga'Hoole,drama,6.9
401,Legend of the Guardians: The Owls of Ga'Hoole,thriller,6.9
401,Legend of the Guardians: The Owls of Ga'Hoole,animation,6.9
406,Death at a Funeral,comedy,5.6
411,Blood and Bone,thriller,6.7
411,Blood and Bone,action,6.7
411,Blood and Bone,crime,6.7
411,Blood and Bone,drama,6.7
411,Blood and Bone,sport,6.7
412,Ip Man 2,drama,7.5
412,Ip Man 2,history,7.5
412,Ip Man 2,sport,7.5
412,Ip Man 2,action,7.5
414,Like Stars on Earth,drama,8.3
414,Like Stars on Earth,family,8.3
418,Felon,crime,7.4
418,Felon,thriller,7.4
418,Felon,drama,7.4
418,Felon,action,7.4
421,Stuart Little 2,comedy,5.5
421,Stuart Little 2,fantasy,5.5
421,Stuart Little 2,animation,5.5
421,Stuart Little 2,family,5.5
424,Did You Hear About the Morgans?,comedy,4.9
424,Did You Hear About the Morgans?,romance,4.9
424,Did You Hear About the Morgans?,drama,4.9
429,Chaos,action,6.4
429,Chaos,crime,6.4
429,Chaos,drama,6.4
429,Chaos,thriller,6.4
429,Chaos,european,6.4
433,Comedian,comedy,6.9
433,Comedian,documentation,6.9
434,Delta Farce,action,3.6
434,Delta Farce,comedy,3.6
435,One Piece: Strong World,fantasy,7.5
435,One Piece: Strong World,animation,7.5
435,One Piece: Strong World,action,7.5
436,Christmas with the Kranks,comedy,5.4
436,Christmas with the Kranks,family,5.4
438,Love Happens,drama,5.6
438,Love Happens,romance,5.6
444,Kabhi Khushi Kabhie Gham,drama,7.4
444,Kabhi Khushi Kabhie Gham,romance,7.4
445,Naruto Shippuden the Movie,fantasy,6.7
445,Naruto Shippuden the Movie,animation,6.7
445,Naruto Shippuden the Movie,action,6.7
445,Naruto Shippuden the Movie,family,6.7
447,Trailer Park Boys: The Movie,comedy,7.1
447,Trailer Park Boys: The Movie,crime,7.1
448,Jeff Dunham: Arguing with Myself,comedy,8
448,Jeff Dunham: Arguing with Myself,documentation,8
449,From Within,thriller,5.6
449,From Within,horror,5.6
449,From Within,documentation,5.6
